DRG Definition,Provider Id,Provider Name,Provider Street Address,Provider City,Provider State,Provider Zip Code,Hospital Referral Region Description, Total Discharges , Average Covered Charges , Average Total Payments ,Average Medicare Payments
039 - EXTRACRANIAL PROCEDURES W/O CC/MCC,110010,EMORY UNIVERSITY HOSPITAL,"1364 CLIFTON ROAD, NE",ATLANTA,GA,30322,GA - Atlanta,26,$28105.69,$9719.03,$6058.38
039 - EXTRACRANIAL PROCEDURES W/O CC/MCC,110082,"SAINT JOSEPH'S HOSPITAL OF ATLANTA, INC",5665 PEACHTREE DUNWOODY ROAD,ATLANTA,GA,30342,GA - Atlanta,95,$17527.91,$5528.84,$4533.97
039 - EXTRACRANIAL PROCEDURES W/O CC/MCC,110083,PIEDMONT HOSPITAL,1968 PEACHTREE RD NW,ATLANTA,GA,30309,GA - Atlanta,43,$29914.32,$5447.86,$4350.55
057 - DEGENERATIVE NERVOUS SYSTEM DISORDERS W/O MCC,110010,EMORY UNIVERSITY HOSPITAL,"1364 CLIFTON ROAD, NE",ATLANTA,GA,30322,GA - Atlanta,30,$24055.56,$9573.66,$5204.76
057 - DEGENERATIVE NERVOUS SYSTEM DISORDERS W/O MCC,110078,EMORY UNIVERSITY HOSPITAL MIDTOWN,550 PEACHTREE ST NE,ATLANTA,GA,30308,GA - Atlanta,16,$19638.87,$6093.75,$5323.50
057 - DEGENERATIVE NERVOUS SYSTEM DISORDERS W/O MCC,110079,GRADY MEMORIAL HOSPITAL,"80 JESSE HILL, JR DRIVE SE",ATLANTA,GA,30303,GA - Atlanta,23,$19217.78,$8669.47,$7734.17
057 - DEGENERATIVE NERVOUS SYSTEM DISORDERS W/O MCC,110083,PIEDMONT HOSPITAL,1968 PEACHTREE RD NW,ATLANTA,GA,30309,GA - Atlanta,20,$18787.40,$6552.25,$3999.40
064 - INTRACRANIAL HEMORRHAGE OR CEREBRAL INFARCTION W MCC,110010,EMORY UNIVERSITY HOSPITAL,"1364 CLIFTON ROAD, NE",ATLANTA,GA,30322,GA - Atlanta,113,$37914.44,$14874.14,$13294.34
064 - INTRACRANIAL HEMORRHAGE OR CEREBRAL INFARCTION W MCC,110078,EMORY UNIVERSITY HOSPITAL MIDTOWN,550 PEACHTREE ST NE,ATLANTA,GA,30308,GA - Atlanta,37,$41394.94,$13273.56,$12062.27
064 - INTRACRANIAL HEMORRHAGE OR CEREBRAL INFARCTION W MCC,110079,GRADY MEMORIAL HOSPITAL,"80 JESSE HILL, JR DRIVE SE",ATLANTA,GA,30303,GA - Atlanta,38,$74072.28,$18817.71,$17613.60
064 - INTRACRANIAL HEMORRHAGE OR CEREBRAL INFARCTION W MCC,110082,"SAINT JOSEPH'S HOSPITAL OF ATLANTA, INC",5665 PEACHTREE DUNWOODY ROAD,ATLANTA,GA,30342,GA - Atlanta,38,$30984.60,$10030.18,$8816.07
064 - INTRACRANIAL HEMORRHAGE OR CEREBRAL INFARCTION W MCC,110083,PIEDMONT HOSPITAL,1968 PEACHTREE RD NW,ATLANTA,GA,30309,GA - Atlanta,59,$47325.37,$12983.27,$9988.47
064 - INTRACRANIAL HEMORRHAGE OR CEREBRAL INFARCTION W MCC,110115,ATLANTA MEDICAL CENTER,303 PARKWAY DR NE,ATLANTA,GA,30312,GA - Atlanta,38,$101478.73,$14837.73,$13719.34
064 - INTRACRANIAL HEMORRHAGE OR CEREBRAL INFARCTION W MCC,110161,NORTHSIDE HOSPITAL,"1000 JOHNSON FERRY ROAD, NE",ATLANTA,GA,30342,GA - Atlanta,15,$34292.33,$10145.46,$9395.06
065 - INTRACRANIAL HEMORRHAGE OR CEREBRAL INFARCTION W CC,110010,EMORY UNIVERSITY HOSPITAL,"1364 CLIFTON ROAD, NE",ATLANTA,GA,30322,GA - Atlanta,66,$31545.22,$8959.53,$8128.22
065 - INTRACRANIAL HEMORRHAGE OR CEREBRAL INFARCTION W CC,110078,EMORY UNIVERSITY HOSPITAL MIDTOWN,550 PEACHTREE ST NE,ATLANTA,GA,30308,GA - Atlanta,37,$27996.35,$8381.27,$6970.29
